time,u_var,v_var,w_var,u,v,w,Tau,H,LE,wind_speed,wind_dir,ust,TKE,L,(z-d)/L,Bowen_ratio,sonic_temperature,temp,pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,q_old,q,theta,Ts_std,theta_std,u_unrot,v_unrot,w_unrot,tke,theta_std_2
06:30,5.74272909724614E-02,5.76617768263299E-02,1.16705918376788E-02,0.79881483757061100,-3.14756586805696E-14,3.86190731277033E-15,3.60598464205974E-03,-8.4699526435659200,0,0.79881483757061100,149.47899776893000,5.97949544972023E-02,6.57408066419895E-02,1.8635142518022400,0.71370530099983300,"-9,999",274.18692901568900,274.18692901568900,79375.040879516000,1.0085438681473800,1005.1734712305200,2.87192309141188E-02,"-9,999","-9,999","-9,999",656.88902909126500,4.36060233190871E-02,43.6060233190871,292.911979786449,0.12050251008302400,0.370841589248,0.41635523616233300,0.67998936114379100,-4.86613889488159E-02,6.33798298182351E-02,0.128731989246779
07:00,5.40879608700843E-02,7.99678657033888E-02,1.64910701597151E-02,0.88071527420240100,6.43404494544443E-15,-6.73646300082714E-16,7.2971733389695E-03,-19.663748646251100,4.9895981700994700,0.88071527420240100,139.69279840644100,8.5257515784787E-02,7.60322841900439E-02,2.2442931665192300,0.59261420024851600,-3.9409483441146800,274.36494277911700,267.77828521658400,79375.040879516000,1.0038973654111900,997.34562185198600,2.87378766548043E-02,7.14030142895414E-03,4.84182253616508E-02,5979.7768640969100,403.71561191460000,4.82302544362383E-02,48.2302544362383,286.065670410284,0.20296293318646400,0.481281039046,0.32430016671432900,0.81522858329034500,-7.67538472579094E-02,7.52734483665941E-02,0.216823882875577
07:30,2.55445236100086E-02,9.73719416476495E-02,6.92055014256587E-03,0.71951415123988200,-2.86705688484519E-15,1.78689453776119E-15,6.66202795269324E-03,-21.153284777298200,0,0.71951415123988200,135.46798367321200,8.13748025487414E-02,6.53668876451007E-02,1.8806862843304200,0.70718865293023500,"-9,999",274.86217932086500,274.86217932086500,79375.040879516000,1.0060661916753700,1005.1833047353800,2.87899588277681E-02,"-9,999","-9,999","-9,999",689.53624879206300,4.82302544362383E-02,48.2302544362383,293.63334496768,0.49023595949473800,0.747985138318,0.21500268059283100,0.68323238883479000,-6.83225000967167E-02,6.4918507700112E-02,0.523715648931961
08:00,2.09065911277968E-02,4.47597422590313E-02,4.1477777572749E-03,0.58834645611371400,2.74094426391599E-14,2.70022592083364E-15,3.19432422234506E-03,-9.3370813522243200,-39.108405084867400,0.58834645611371400,137.61712507039600,5.65322840619178E-02,3.72143157593002E-02,1.3745393229947500,0.96759690883363400,0.23874871225155600,275.58920012791900,269.11258074444200,79375.040879516000,0.99950720631575100,994.30874796209500,2.88661093522009E-02,-5.60361069049098E-02,4.71661174143777E-02,5854.3223543238000,446.81582194558900,4.71893720388821E-02,47.1893720388821,287.491088996386,0.43952022977618100,0.708238972975,0.19617955558856200,0.55041555562488000,-6.8613777893126E-02,3.49070555720515E-02,0.46953638936074
08:30,0.17746933866062500,0.15074146593299200,3.46556042842939E-02,1.1241767360955700,1.03318334111226E-13,1.19394065593271E-14,1.73607977214743E-02,-21.497615025893600,-138.31179304281300,1.1241767360955700,94.278623384104900,0.13233103033209200,0.20585177322508100,7.7493016736927900,0.17162836807799900,0.15542864822263700,278.34969903225400,275.11979515758800,79375.040879516000,0.99139400658961100,992.34369844388300,2.91552529877358E-02,-0.19930938600671700,2.2821483440783E-02,2897.1881235613200,700.43642898112300,2.30195898795966E-02,23.0195898795966,293.908554165396,0.32914321188578000,0.612890427437,-0.44765916666196800,1.0187631527312500,-0.15967543054196400,0.181433204438955,0.351621392649312
09:00,0.35604511523607100,0.43699823890533500,7.73763761627775E-02,1.4998249291870700,-2.88225130374428E-14,4.1622494862591E-15,3.11100648779785E-02,-13.176815296626800,33.145794010076100,1.4998249291870700,94.847758673180000,0.17751280724120100,0.43703052550301600,30.890234316049700,4.30556785808831E-02,-0.39754109654519700,279.80686669289600,278.27776527280200,79375.040879516000,0.98728271265091200,997.20631985606100,2.93078814688848E-02,4.79072738140469E-02,1.06372444831441E-02,1366.0486093583800,877.17746517950500,1.07742638930469E-02,10.7742638930469,297.282191566254,6.52522332999778E-02,0.272890286333,-0.58249887501745100,1.3622064723020800,-0.23358811106910900,0.435209865152092,0.0697085047416323
09:30,0.42856432166891600,0.46989533506610300,9.68681824851923E-02,1.4952518042618600,2.86292409409848E-14,1.35062335334127E-14,4.20238374610109E-02,-7.1692640081395200,41.482098744405500,1.4952518042618600,98.633563630683800,0.20650633604148000,0.49974240979184400,89.402097663805400,1.4876608432628E-02,-0.17282789986864900,280.34129050784600,278.86687866339300,79375.040879516000,0.98543718364017100,997.14596156106100,2.93638587578192E-02,5.99898168935671E-02,1.02159943678736E-02,1314.7314990496300,913.87656584920200,1.03669665986583E-02,10.3669665986583,297.911537283704,1.97393324431892E-02,0.150091679583,-0.49060555545849600,1.3957591664508100,-0.21665755553457900,0.497663919610106,0.0210873908772894
10:00,0.75941499876175100,0.77409785518973900,0.15154528146310500,1.5131245157987300,-5.69543083803826E-14,-1.39417732812842E-14,8.40112074101507E-02,45.410758170405100,84.173811160431600,1.5131245157987300,100.11637478877700,0.29238665635832200,0.85113829207963900,-40.054393609154000,-3.3204846713646E-02,0.53948796596430900,281.12696013111500,279.67923437656700,79375.040879516000,0.98270265348917700,996.81919891735700,2.94461523500553E-02,0.12182325441020100,9.97419905048426E-03,1287.3547768499000,966.66867874277400,1.01497630184165E-02,10.1497630184165,298.779371213976,0.13167218201204000,0.387647871027,-0.46080958338315500,1.4280892497444300,-0.19432298612806000,0.84252906770729800,0.140664471696028
10:30,1.0646077822029700,1.8046052177793900,0.23387905385008700,1.5947428437486500,9.81101205249977E-15,9.1295295537882E-16,0.15362983670341200,65.379639699420800,107.39263948860400,1.5947428437486500,111.57807257637200,0.39592406417144900,1.5550712336476900,-70.270402345068500,-1.89268875033464E-02,0.60879069562638600,281.89353744157200,280.48580952804500,79375.040879516000,0.98005798446647400,1013.8625429235200,2.95264461513373E-02,0.15554712098840900,9.64471554137885E-03,1248.4208604462600,1021.7393431984000,9.84096420236734E-03,9.84096420236733,299.641029810591,0.22092439064961100,0.502125433614,-0.17691380569028400,1.5717916111983900,-0.20341429155792200,1.55154602691622,0.236011982338478
11:00,0.92213768934288500,1.8598523265327700,0.24465201711327400,1.5012075681814500,-5.58096760268476E-14,-1.39515694958781E-15,0.20040602058780400,99.629614820959400,116.25572259985100,1.5012075681814500,134.88642821752000,0.45310636812827400,1.5177506186313800,-69.119389864921800,-1.92420680014564E-02,0.85698675809604100,283.02706574270500,281.61910582661500,79375.040879516000,0.97613623066972800,1013.8595089368000,2.96451755931265E-02,0.16856673994163000,9.56904136697203E-03,1243.6304064286500,1103.7462111132400,9.80297735737838E-03,9.80297735737838,300.851722324966,0.32582231932230100,0.609790707991,0.43501294472354200,1.4330164726353900,-0.10417144447470500,1.51332101649446,0.348073706335749
