time,TIMESTAMP,Hs,Fc_wpl,LE_wpl,Hc,tau,u_star,Ts_mean,stdev_Ts,cov_Ts_Ux,cov_Ts_Uy,cov_Ts_Uz,co2_mean,stdev_co2,cov_co2_Ux,cov_co2_Uy,cov_co2_Uz,h2o_Avg,stdev_h2o,cov_h2o_Ux,cov_h2o_Uy,cov_h2o_Uz,Ux_Avg,stdev_Ux,cov_Ux_Uy,cov_Ux_Uz,Uy_Avg,stdev_Uy,cov_Uy_Uz,Uz_Avg,stdev_Uz,press_mean,rho_a_mean,wnd_dir_compass,wnd_dir_csat3,wnd_spd,rslt_wnd_spd,std_wnd_dir,Fc_irga,LE_irga,co2_wpl_LE,co2_wpl_H,h2o_wpl_LE,h2o_wpl_H,n_Tot,csat_warnings,irga_warnings,del_T_f_Tot,sig_lck_f_Tot,amp_h_f_Tot,amp_l_f_Tot,chopper_f_Tot,detector_f_Tot,pll_f_Tot,sync_f_Tot,agc_Avg,,panel_temp_Avg,batt_volt_Avg,RH,Es,Ws,q,theta,theta_std,th,utemp,v_rot,phi,u_rot,w_rot,tke,diss_FSR
10,8/19/16 10:00,38.51757,-0.02156147,33.8303,36.5374,0.06383639,0.2535714,6.54642,0.3193317,0.05449045,0.03988376,0.03861603,579.182,2.118992,-0.04236245,-0.01393741,-0.1103639,5.591689,0.1729133,0.07263894,0.03170486,0.01296749,-3.087139,0.8621662,0.3420465,0.06429028,-0.7245867,0.6017337,0.001024403,0.1293701,0.4196231,79.88673,0.9928139,166.7911,-166.7911,3.21432,3.171027,9.400469,-0.1103639,31.64067,0.01225692,0.0765455,0.2887349,1.900898,18000,0,0,0,0,0,0,0,0,0,0,44,4.459074,13.87281,,72.74,9.70086,0.00755,5.49413220761971,298.24911,0.340513460825811,0.230538441534157,-3.1710334421349,1.05534207484048E-15,-0.0418816417617498,-3.17366938660659,0.850534120117721,0.6407488,0.15108266063226
10.5,8/19/16 10:30,66.58735,-0.1126746,61.89102,62.9513,0.173145,0.4182761,7.500843,0.3964508,0.192843,0.1031716,0.06697065,574.5164,1.931057,-0.6076536,-0.2717324,-0.2658696,5.110069,0.1988713,0.1156029,0.06976469,0.02393543,-4.549123,1.126075,0.4734363,0.1621577,-1.855248,0.8424485,0.06568175,0.3401362,0.5362002,79.88148,0.9896549,157.8132,-157.8132,4.966203,4.912892,8.392295,-0.2658696,58.40245,0.02250265,0.1306923,0.4883687,3.000208,18000,0,0,0,0,0,0,0,0,0,0,44,5.482394,13.81085,,63.43,10.356296,0.00806396705858198,5.11497430525855,299.272468394468,0.422755934900083,0.387234,-4.912888,2.132675E-15,-0.0746307528451439,-4.92457330099988,2.17019951446687,1.13263751762864,0.36377133295381
11,8/19/16 11:00,100.7561,-0.1648008,91.07757,95.38554,0.1934367,0.4429585,8.541107,0.5334715,0.3145841,0.1873541,0.1017267,570.4399,2.304427,-1.261155,-0.7672616,-0.3944179,5.103643,0.193588,0.1143735,0.06354377,0.03517346,-4.578404,1.222962,0.4910943,0.1619951,-2.068424,0.9825929,0.1107106,0.4105612,0.6111028,79.8703,0.9858543,155.6875,-155.6875,5.100523,5.023966,9.923582,-0.3944179,85.82323,0.03296035,0.1966568,0.7195354,4.534799,18000,0,0,0,0,0,0,0,0,0,0,44,6.84504,13.75346,,61.24,11.114944,0.00865590233436547,5.30087458956541,300.393780252391,0.568890946713179,0.424332,-5.023959,1.268645E-15,-0.089434220754715,-5.040549365767,2.44257417760589,1.41728574637113,0.381107068631
11.5,8/19/16 11:30,185.5614,-0.3221652,148.0727,176.7913,0.3278957,0.5779938,9.752563,0.7104003,0.5588381,0.1696917,0.1881806,565.0523,2.954585,-2.220852,-0.6556839,-0.7362362,4.867363,0.2500368,0.1997277,0.06432706,0.05696449,-4.18674,1.379837,0.4622534,0.3053174,-2.152768,1.106577,0.1356046,0.4783311,0.6716477,79.84872,0.9814977,152.7884,-152.7884,4.822157,4.707794,12.47407,-0.7362362,138.9934,0.05309923,0.3609718,1.116049,7.963332,18000,0,0,0,0,0,0,0,0,0,0,44,8.037428,13.72401,,52.2,12.059915,0.00939434855903833,4.90384994781801,301.708986422892,0.75762535409592,0.474932822576203,-4.70778099420778,2.0343260409561E-15,-0.113755823054371,-4.73164924246581,2.57815906047583,1.78978671820664,0.33582756830591
12,8/19/16 12:00,139.5759,-0.1917025,121.672,132.3559,0.3074524,0.5602934,10.26541,0.5996547,0.462515,0.2292296,0.1418535,563.2402,2.241591,-1.727446,-0.8360093,-0.5049828,4.732869,0.2128178,0.1547992,0.08982667,0.04710962,-4.83218,1.461404,0.7046952,0.2656779,-2.183119,1.146286,0.1672318,0.4459933,0.6613253,79.81393,0.9793702,155.6871,-155.6871,5.399643,5.302446,10.86745,-0.5049828,114.9475,0.04386172,0.2694186,0.8993037,5.82526,18000,0,0,0,0,0,0,0,0,0,0,44,9.517279,13.66457,,52.37,12.48084,0.00973,5.09375388307395,302.29360,0.639597466745419,0.424339500047432,-5.30244963394854,-2.08184425254387E-15,-0.0920357508239097,-5.32099747500536,2.58955754315862,1.94351219871604,0.42469521193520
12.5,8/19/16 12:30,155.948,-0.1977588,133.2359,148.0225,0.2307493,0.486096,10.96931,0.6587971,0.4598697,0.1778832,0.1589499,561.2448,2.452084,-1.847362,-0.734129,-0.546072,4.778723,0.2338713,0.1704142,0.06986744,0.05150223,-4.80044,1.49953,0.6141444,0.204134,-2.17154,1.143769,0.119004,0.4035731,0.6866259,79.78503,0.9765539,155.6599,-155.6599,5.376433,5.268779,11.46185,-0.546072,125.6654,0.04792234,0.3003909,0.9956059,6.574888,18000,0,0,0,0,0,0,0,0,0,0,44,9.950208,13.65591,,48.77,13.07964,0.01020,4.9729886400526,303.07578,0.702752104314369,0.42482,-5.26876,9.29548E-16,-0.0838727959542959,-5.28404600436509,2.53924116913667,2.01412643640591,0.41881713264370
13,8/19/16 13:00,160.9208,-0.2062876,174.4638,150.5172,0.2065027,0.4604754,11.6483,0.6797511,0.6766402,0.3694155,0.1644659,559.8998,2.331914,-2.286363,-1.180405,-0.57459,4.641584,0.2472726,0.2019961,0.1042884,0.06827369,-5.007708,1.704334,1.216199,0.1940361,-2.061433,1.313723,0.08549798,0.4619148,0.7296961,79.7519,0.9738967,157.6254,-157.6254,5.528984,5.41539,11.61024,-0.57459,166.5878,0.06354057,0.3047619,1.285277,6.590714,18000,0,0,0,0,0,0,0,0,0,0,44,10.99225,13.62131,,43.54,13.6811,0.0107,4.64578097108972,303.8362,0.725190292709682,0.390511,-5.415408,-1.166866E-15,-0.0919804832696272,-5.43494327352136,2.48857244644215,2.5815394513201,0.44307912579593
13.5,8/19/16 13:30,149.7765,-0.2353694,166.5293,139.8249,0.1176021,0.3478215,12.18113,0.5980706,0.3612478,0.1999315,0.1533621,558.7485,2.160213,-1.228461,-0.520333,-0.5786313,4.230655,0.2510749,0.09980822,0.01986532,0.06549849,-4.599672,1.464277,0.9791317,0.1088092,-1.388547,1.230905,-0.05288361,0.3175808,0.6765451,79.73196,0.9720802,163.2021,-163.2021,4.926821,4.804699,12.7526,-0.5786313,159.8163,0.06092076,0.2823411,1.125502,5.587456,18000,0,0,0,0,0,0,0,0,0,0,44,12.91653,13.5419,,40.59,14.17002,0.01105,4.48691051002629,304.42638,0.63809534436002,0.293180,-4.804690,4.771613E-16,-0.0689348265447726,-4.81515352001865,1.69257650787509,2.058473762044,0.34778555132022
14,8/19/16 14:00,184.6614,-0.2807209,230.8568,170.8212,0.2416517,0.4993752,13.05679,0.6951587,0.578115,0.2487703,0.1896779,557.1119,2.436578,-2.120588,-0.7395443,-0.7094991,3.956113,0.3263511,0.2431487,0.05724239,0.09137084,-4.525605,1.462905,0.7310482,0.2482547,-1.653629,1.13801,0.02361703,0.391725,0.6718493,79.71237,0.9690272,159.928,-159.928,4.927915,4.818247,12.08351,-0.7094991,222.9448,0.08497991,0.3437982,1.472422,6.439531,18000,0,0,0,0,0,0,0,0,0,0,44,14.93375,13.47328,,35.16,15.00699,0.01171,4.11725024598946,305.38210,0.741733007844823,0.350323,-4.818256,-1.727631E-15,-0.086342,-4.834087,2.021561,1.94326964051774,0.350526
14.5,8/19/16 14:30,180.5399,-0.2811967,228.0787,166.8269,0.2407373,0.4991148,13.80657,0.7015846,0.5740322,0.1233764,0.1859548,556.3196,2.41276,-1.666958,-0.2112569,-0.7006636,3.53841,0.2980331,0.1113398,-0.0457378,0.09063172,-3.632866,1.784992,0.5363114,0.1948913,-1.395486,1.471866,-0.1551643,0.2852849,0.7477489,79.68142,0.9663678,158.9868,-158.9868,4.164256,3.89167,20.72373,-0.7006636,221.1414,0.08436859,0.3350983,1.309346,5.627986,18000,0,0,0,0,0,0,0,0,0,0,44,16.67835,13.41568,,31.22,15.75793,0.01230,3.84030206594477,306.21612,0.748672579143707,0.366749,-3.891670,-1.230986E-15,-0.0783680515880123,-3.9020601619106,1.66179886151968,2.9558571897356,0.2283911026075
