time,u_var,v_var,w_var,u,v,w,Tau,H,LE,wind_speed,wind_dir,ust,TKE,L,(z-d)/L,Bowen_ratio,sonic_temperature,temp,pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,q_old,q,theta,ts_std (k^2),theta_std
05:30,3.33806757410552E-02,4.16070413518744E-02,2.41402205711338E-03,0.73509951248369000,-1.072556273447E-14,-2.69354671546981E-15,3.90240704699118E-03,-0.33219260862606800,0.12563586575895600,0.73509951248369000,121.11591346963500,6.25905104944478E-02,4.32087091025474E-02,54.547890619640100,2.43822443891374E-02,-2.6440905757231000,277.50495235994100,276.98242435853500,79375.040879516000,0.99612899087774800,1008.4099682911300,2.90667714731969E-02,1.81364012470704E-04,3.68470530817554E-03,471.00457815143400,801.52493594345700,3.6990242648482E-03,3.6990242648482,295.898387921572,1.93257501957543E-02,0.148510981272
06:00,6.03726054165903E-02,3.51052568700525E-02,2.85712811378219E-03,1.4921549538674300,1.77983057511548E-14,3.32755963902295E-15,6.88700461080062E-04,-1.6836465282868900,-0.54224377454067900,1.4921549538674300,115.37717878773600,2.6288618904403E-02,6.84312913317204E-02,0.79742918086169400,1.6678597070686800,3.1049623939215600,277.39089665264600,276.87102788769000,79375.040879516000,0.99654022242124000,1008.3930945622200,2.90548249073753E-02,-7.82683228539192E-04,3.66894218293268E-03,468.80102415593900,795.26135857664300,3.68167997676848E-03,3.68167997676848,295.779383850394,2.57650546635895E-02,0.171477017405
06:30,3.90565045611806E-02,0.11843374435262700,3.41826062669376E-03,0.92725687579856100,-1.31996826600781E-14,-3.86637462572197E-15,1.96599596807674E-03,-0.23607422225122400,-1.8144712585817500,0.92725687579856100,122.24656309402900,4.44126648788626E-02,0.12025885178811900,27.422175723549600,4.8500892613631E-02,0.13010634427780800,277.34578782187600,276.83787916988700,79375.040879516000,0.99671032518982600,1008.3190798891500,2.9050100061695E-02,-2.61895388548932E-03,3.58557555672354E-03,458.09403039818600,793.40817884324700,3.59740986533942E-03,3.59740986533942,295.743971306865,2.80446317473674E-02,0.178902025546
07:00,1.46938126041521E-02,5.36369921447507E-02,4.78668649927293E-03,0.38094979555273000,-5.96919428812062E-14,-3.33108609428887E-15,2.6524060513166E-03,-2.8459634760241300,-2.2097895196635000,0.38094979555273000,87.150562576067600,5.15903086232363E-02,5.91667014644381E-02,3.5652897314536500,0.37304121128403500,1.2878889372493300,277.38991470336900,276.89515101550700,79375.040879516000,0.99656070397912800,1008.2381847921700,2.90547220548137E-02,-3.18971829385184E-03,3.49153218459353E-03,446.17138743777800,796.61936696947800,3.50358204036375E-03,3.50358204036375,295.805154419228,1.80662609647703E-02,0.143590109440
07:30,0.17988404677814200,8.47663914728086E-02,1.19089863307303E-02,0.88710906708292400,3.56610226451384E-14,3.28635861711206E-15,1.58191477401869E-02,0.21318608324721600,4.8072381115152100,0.88710906708292400,93.752566928829400,0.12600023885447900,0.14105596878929300,-693.33338505607500,-1.91826908766615E-03,4.43468948909671E-02,277.43833403142300,276.98552520504300,79375.040879516000,0.99641520311004700,1007.9800017514200,2.9059793652749E-02,6.93959929097911E-03,3.1939490118434E-03,408.27763969524700,801.71382734917600,3.20543986269412E-03,3.20543986269412,295.901700534223,2.90923651221546E-02,0.182213227874
08:00,0.24046244020693000,0.15648987324705400,1.29993703710239E-02,0.91043281650268100,1.08768142112538E-13,-6.27836924392658E-16,7.32672065818098E-03,-1.0113674702049300,5.4870577746214100,0.91043281650268100,108.32292223558300,8.58192897063287E-02,0.20618868094465400,46.178256909395000,2.88014335969752E-02,-0.18431872084210100,277.88578030565000,277.42990824291100,79375.040879516000,0.99480922138009900,1008.0014710089400,2.91066606311179E-02,7.92431894271689E-03,3.20523093813566E-03,410.37711567903800,827.14376854043200,3.22195539531594E-03,3.22195539531594,296.376431827478,2.76309377213963E-02,0.177577606853
08:30,0.15166170859054200,0.17945404913286500,4.19840894272634E-02,0.82126364942949000,-1.76823676331239E-14,3.35021749604145E-16,4.80734628219988E-03,19.964229968379300,28.991358852745100,0.82126364942949000,72.389208008311500,6.96066815912171E-02,0.18736817825802100,-1.2481603382418600,-1.0655682280959300,0.68862691361874600,278.62022800996600,278.19740094049600,79375.040879516000,0.99220987866278900,1007.8038542322100,2.91835890729305E-02,4.18994533582773E-02,2.95694390255998E-03,379.63553246691200,872.75379305232900,2.98015970829184E-03,2.98015970829184,297.196338911774,9.62038705039197E-02,0.331349759270
09:00,1.0396907661445800,0.50118901333957000,8.27993027775589E-02,1.4884046782215800,-3.03366689590152E-14,-8.11563293525889E-15,6.39639368802059E-02,46.254322389392000,50.410185681429300,1.4884046782215800,81.469687386902500,0.25396690942863700,0.81200512266073000,-26.167523309976100,-5.08263615262722E-02,0.91755905605465300,278.76009854168400,278.32118884619400,79375.040879516000,0.99170138112546800,1007.9032118171600,2.91982395674413E-02,7.28633764960587E-02,3.06647653403936E-03,393.87329820076800,880.31050063354100,3.09213700051447E-03,3.09213700051447,297.328580666192,0.25841378551072800,0.543060513491
09:30,0.52221651070912400,0.42861586183590700,5.86378774771276E-02,0.99019575120467400,-5.23693059723339E-14,-1.89411900004136E-15,3.74747632312266E-02,29.616593976891300,38.438722463403700,0.99019575120467400,87.948482559905300,0.19447854524967400,0.56043377935136800,-18.350842588025300,-7.24762360976208E-02,0.77048850947344500,279.00984693357700,278.58249149422600,79375.040879516000,0.99082168560205900,1007.8344180006600,2.92243990264752E-02,5.55735396842444E-02,2.98030523008489E-03,383.16448189014700,896.46074686861200,3.00791279943974E-03,3.00791279943974,297.60772845866,0.19650428197540800,0.473561509347
10:00,0.53818233220073000,0.55417226091799200,8.13424260112489E-02,1.1647062113169300,1.7493028688995E-14,2.3755320953432E-15,1.42919490722145E-02,60.369794665562000,69.064118581670200,1.1647062113169300,68.405430868775200,0.12018759046811700,0.59953185471934700,-2.1248790122175400,-0.62591798984922000,0.87411228732577000,279.41152824020400,278.98863862736700,79375.040879516000,0.98940067655320700,1007.8102631484300,2.92664724332577E-02,9.98894661908555E-02,2.94064451490098E-03,378.61668666738200,922.08037926146700,2.97214726509523E-03,2.97214726509523,298.041612602153,0.39709760598012300,0.673192116194
